"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","주연","제작사","cluster","조연"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","김윤석,하정우,유해진,김태리,박희순,이희준","(주)우정필름",4,",유승목,현봉식,박지환,이용직,박지홍,김경덕,김의성,최광일,김수진,김종수,김혜정,조우진,임철형,이창훈,서현우,이현균,김승훈,박경혜,이화룡"
"1번가의 기적",15494122100,2535450,340,54566,"2007-02-14","CJ ENM","15세이상관람가","드라마,코미디","윤제균","임창정,하지원","(주)두사부필름",1,",주현,정두홍,이훈,강예원,박창익,박유선,고태호"
"26년",21242367145,2963652,611,50679,"2012-11-29","(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹","영화사청어람(주)",2,",배수빈,이경영,장광,이미도,조덕제,김의성,안석환,민복기,구성환,김민재,최귀화,김태수,장영"
"7광구",19391653500,2242510,812,47346,"2011-08-04","(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원,안성기,오지호,박철민,송새벽","(주)제이케이필름,(주)씨제이이엔엠",1,",박정학,이한위,박영수,차예련,오민석"
"7급 공무원",26380710000,4039891,475,90779,"2009-04-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",2,",류승룡,장영남,강신일,도마첸코 바딤,엘리자베스 수진 포드,코디 헌터,장남열,김정팔,유승목,김형종,김형범,박성민"
"7번방의 선물",91431950670,12811213,866,166817,"2013-01-23","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,오달수,박원상,김정태,정만식,김기천","(주)화인웍스,(주)씨엘엔터테인먼트",5,",박길수,조재윤,조덕현"
"82년생 김지영",30298542310,3678156,1486,145441,"2019-10-23","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","정유미,공유","(주)봄바람영화사",2,",김미경,공민정,박성연,이봉련,김성철,이얼,김미경,손성찬,강애심,류아영,김정영"
"가문의 부활 - 가문의 영광3",15996330400,2598859,444,51434,"2006-09-21","(주)쇼박스","15세관람가","코미디","정용기","신현준,탁재훈,김원희,김수미","(주)태원엔터테인먼트",1,",공형진,신이,임형준,정준하,김용건,김해곤"
"가문의 영광4 - 가문의 수난",17792219500,2368267,537,48432,"2011-09-07","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,탁재훈,임형준,정준하,현영","(주)태원엔터테인먼트",1,",정웅인,김지우,정만식,이재훈,윤주희,유상무,장동민,정주리,김예랑,김문학"
"가문의 위기(가문의 영광2)",28622355500,4529876,351,61009,"2005-09-07","(주)쇼박스","15세관람가","코미디","정용기","신현준,김원희,김수미","(주)태원엔터테인먼트",3,",탁재훈,공형진,임형준,정준하,김해곤,정호빈"
